CASE,ESP,BLAST,DOE2,SRES/SUN,SERIRES,S3PAS,TRNSYS,TASE
600,6.137,6.433,7.079,7.278,7.964,6.492,6.492,6.778
610,3.915,4.851,4.852,5.448,5.778,4.764,4.601,5.506
620,3.417,4.092,4.334,4.633,5.004,4.011,3.901,4.351
630,2.129,3.108,2.489,3.493,3.701,2.489,2.416,1.721
900,2.132,2.600,2.455,3.165,3.415,2.572,2.485,2.599
910,0.821,1.533,0.976,1.872,1.854,1.428,1.326,1.767
920,1.840,2.616,2.440,2.943,3.092,2.457,2.418,2.613
930,1.039,1.934,1.266,2.173,2.238,1.439,1.416,0.894
960,0.488,0.666,0.428,0.803,0.718,0.643,0.411,0.786
195,0.414,0.421,0.264,0.510,0.488,0.474,0.474,0.443
200,0.570,0.613,,,0.699,0.677,0.716,0.633
210,0.162,0.613,,,0.681,0.661,0.668,0.641
215,0.639,0.701,,,0.853,0.749,0.765,0.671
220,0.186,0.701,0.399,0.827,0.835,0.734,0.737,0.683
230,0.454,0.976,0.692,1.131,1.139,1.020,1.040,0.985
240,0.415,1.072,0.660,1.239,1.246,1.108,1.114,1.045
250,3.213,2.545,2.177,2.924,2.931,2.486,2.684,3.380
270,7.528,8.670,,9.631,10.350,8.795,8.764,8.714
280,4.873,5.895,,6.511,7.114,5.805,5.761,6.257
290,5.204,7.011,,7.721,8.089,6.903,6.699,7.431
300,4.302,5.836,,6.525,7.100,5.849,5.721,5.781
310,2.732,4.570,,5.136,5.471,3.875,3.727,2.471
320,5.061,5.906,,6.576,7.304,5.914,5.956,5.663
395,0.000,0.011,0.000,0.016,0.014,0.010,0.010,0.011
400,0.000,0.040,0.002,0.061,0.058,0.042,0.045,0.044
410,0.000,0.059,0.010,0.084,0.084,0.063,0.067,0.065
420,0.011,0.147,0.051,0.189,0.188,0.154,0.158,0.143
430,0.542,0.617,0.422,0.704,0.684,0.563,0.617,0.875
440,3.967,4.172,,4.674,5.204,3.992,3.975,4.684
800,0.113,0.224,0.055,0.272,0.222,0.195,0.207,0.325
810,1.052,1.405,,1.711,1.708,1.307,1.191,1.624
