CASE,ESP(AH),BLAST(AH),DOE2(AH),SRES/SUN(AH),SERIRES(AH),S3PAS(AH),TRNSYS(AH),TASE(AH)
600,4.296,4.773,5.709,5.226,5.596,4.882,4.872,5.362
610,4.355,4.806,5.786,5.28,5.62,4.971,4.97,5.383
620,4.613,5.049,5.944,5.554,5.734,5.564,5.073,5.728
630,5.05,5.359,6.469,5.883,6.001,6.095,5.624,7.018
900,1.17,1.61,1.872,1.897,1.988,1.73,1.655,2.041
910,1.575,1.862,2.254,2.174,2.282,2.063,2.097,2.22
920,3.313,3.752,4.255,4.093,4.058,4.235,3.776,4.3
930,4.143,4.347,5.335,4.755,4.728,5.168,4.74,6.306
960,2.311,2.664,2.928,2.884,2.851,2.943,3.373,2.816
195,4.167,4.895,5.871,5.324,4.968,4.973,4.871,4.921
200,5.252,6.559,,,6.683,6.636,6.395,6.882
210,6.456,6.559,,,6.794,6.735,6.554,6.967
215,5.547,7.215,,,7.943,7.281,7.13,7.319
220,6.944,7.215,8.787,8.102,8.127,7.422,7.297,7.437
230,10.376,10.74,12.243,11.633,11.649,11.037,10.84,10.964
240,5.649,6.009,7.448,6.769,6.786,6.194,6.076,6.234
250,4.751,5.739,7.024,6.608,6.653,5.974,5.764,5.738
270,4.51,4.93,,5.482,5.92,5.072,5.047,5.489
280,4.675,5.125,,5.937,6.148,5.363,5.279,5.841
290,4.577,4.959,,5.539,5.942,5.16,5.132,5.509
300,4.761,5.077,,5.689,5.964,5.662,5.124,5.786
310,5.221,5.327,,5.937,6.165,6.154,5.61,7.135
320,3.859,4.209,,4.764,5.141,4.343,4.348,4.84
395,4.984,4.799,5.835,5.199,5.201,4.967,4.855,4.839
400,6.9,7.075,8.77,7.966,7.973,7.287,7.166,7.326
410,8.596,8.873,10.506,9.726,9.734,9.019,8.936,9.085
420,7.298,7.61,9.151,8.365,8.373,7.774,7.697,7.863
430,5.429,6.488,7.827,7.178,7.186,6.662,6.5,6.51
440,4.449,4.987,,5.652,5.811,5.152,5.098,5.642
800,4.868,5.953,7.228,6.611,6.6,6.161,5.94,5.861
810,1.839,2.446,,3.004,2.828,2.722,2.567,2.962
