CASE,ESP,BLAST,DOE2,SRES/SUN,SERIRES,S3PAS,TRNSYS,TASE
600,6.194,5.965,6.656,6.827,7.551,6.286,6.486,6.812
610,5.669,5.824,6.064,6.371,7.215,6.170,5.675,6.146
620,3.634,4.075,4.430,4.593,4.959,4.297,4.275,5.096
630,3.072,3.704,3.588,4.116,4.400,3.665,3.608,3.546
900,2.888,3.155,3.458,3.871,4.901,3.334,3.567,3.457
910,1.896,2.500,2.336,3.277,3.973,2.786,2.792,3.147
920,2.385,2.933,3.109,3.487,3.777,3.071,3.050,3.505
930,1.873,2.546,2.388,3.080,3.203,2.486,2.498,2.304
960,0.953,1.144,1.057,1.370,1.306,1.179,1.378,1.403
195,0.651,0.728,0.616,0.853,0.806,0.799,0.791,0.790
200,0.863,1.017,,,1.111,1.105,1.101,1.126
210,0.476,1.017,,,1.101,1.097,1.068,1.142
215,1.007,1.166,,,1.347,1.216,1.184,1.192
220,0.560,1.166,0.937,1.340,1.342,1.215,1.179,1.213
230,1.059,1.646,1.455,1.875,1.878,1.700,1.708,1.749
240,0.739,1.347,1.119,1.540,1.542,1.398,1.361,1.397
250,3.360,3.036,2.605,2.590,2.582,2.258,3.228,4.912
270,6.356,6.641,,7.163,7.967,6.819,6.764,6.867
280,4.444,4.631,,5.220,5.759,4.630,4.786,5.236
290,6.269,6.555,,6.910,7.793,6.700,6.203,6.621
300,3.404,4.093,,4.642,5.072,4.336,4.278,4.929
310,2.848,3.749,,4.186,4.666,3.669,3.589,3.425
320,5.701,5.946,,6.484,7.332,6.183,6.178,6.141
395,0.000,0.362,0.000,0.394,0.421,0.356,0.363,0.345
400,0.000,0.581,0.265,0.666,0.712,0.612,0.613,0.572
410,0.035,0.699,0.413,0.814,0.863,0.724,0.743,0.710
420,0.258,0.923,0.631,1.047,1.078,0.938,0.938,0.921
430,1.493,1.772,1.427,1.762,1.779,1.575,1.798,2.578
440,4.546,4.424,,5.053,5.615,4.465,4.686,5.278
800,0.585,0.967,0.743,1.352,1.382,1.028,0.983,1.358
810,1.852,2.357,,2.991,3.624,2.432,2.344,2.862
