CASE,min,MAX,CS_01-2015_(AC),dist_%_CS_01-2015_(AC),CS_05-2023_(AC),dist_%_CS_05-2023_(AC),CS_07-2023_(AC),dist_%_CS_07-2023_(AC)
600,6.137,7.964,7.029505,0.0,6.973193,0.0,6.973193,0.0
610,3.915,5.778,5.146687,0.0,5.050056,0.0,5.050056,0.0
620,3.417,5.004,4.554667,0.0,4.51893,0.0,4.51893,0.0
630,1.721,3.701,2.970499,0.0,2.914506,0.0,2.914506,0.0
900,2.132,3.415,3.054489,0.0,3.058696,0.0,3.058696,0.0
910,0.821,1.872,1.734356,0.0,1.657599,0.0,1.657599,0.0
920,1.84,3.092,3.007135,0.0,2.968062,0.0,2.968062,0.0
930,0.894,2.238,1.897177,0.0,1.832148,0.0,1.832148,0.0
960,0.411,0.803,0.666727,0.0,0.625981,0.0,0.625981,0.0
195,0.264,0.51,0.513561,0.7,0.510431,0.1,0.510431,0.1
200,0.57,0.716,0.681429,0.0,0.678781,0.0,0.678781,0.0
210,0.162,0.681,0.256231,0.0,0.242606,0.0,0.242606,0.0
215,0.639,0.853,0.778666,0.0,0.776153,0.0,0.776153,0.0
220,0.186,0.835,0.360916,0.0,0.345669,0.0,0.345669,0.0
230,0.454,1.139,0.648151,0.0,0.630241,0.0,0.630241,0.0
240,0.415,1.246,0.63138,0.0,0.609581,0.0,0.609581,0.0
250,2.177,3.38,1.876589,-13.8,1.860241,-14.6,1.860241,-14.6
270,7.528,10.35,8.568308,0.0,8.605058,0.0,8.605058,0.0
280,4.873,7.114,5.374454,0.0,5.387523,0.0,5.387523,0.0
290,5.204,8.089,6.706751,0.0,6.610973,0.0,6.610973,0.0
300,4.302,7.1,5.579465,0.0,5.532185,0.0,5.532185,0.0
310,2.471,5.471,4.008044,0.0,3.931409,0.0,3.931409,0.0
320,5.061,7.304,5.564785,0.0,5.605207,0.0,5.605207,0.0
395,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.061,0.000783,0.0,0.000621,0.0,0.000621,0.0
410,0.0,0.084,0.004537,0.0,0.003933,0.0,0.003933,0.0
420,0.011,0.189,0.027602,0.0,0.024613,0.0,0.024613,0.0
430,0.422,0.875,0.558513,0.0,0.547843,0.0,0.547843,0.0
440,3.967,5.204,4.417627,0.0,4.369224,0.0,4.369224,0.0
800,0.055,0.325,0.176624,0.0,0.166609,0.0,0.166609,0.0
810,1.052,1.711,1.526277,0.0,1.512659,0.0,1.512659,0.0
