CASE,min,MAX,CS_01-2015_(AH),dist_%_CS_01-2015_(AH),CS_05-2023_(AH),dist_%_CS_05-2023_(AH),CS_07-2023_(AH),dist_%_CS_07-2023_(AH)
600,4.296,5.709,4.388594,0.0,4.430847,0.0,4.430847,0.0
610,4.355,5.786,4.506014,0.0,4.555807,0.0,4.555807,0.0
620,4.613,5.944,4.878342,0.0,4.920946,0.0,4.920946,0.0
630,5.05,7.018,5.370047,0.0,5.412867,0.0,5.412867,0.0
900,1.17,2.041,1.333823,0.0,1.330031,0.0,1.330031,0.0
910,1.575,2.282,1.585426,0.0,1.631653,0.0,1.631653,0.0
920,3.313,4.3,3.534016,0.0,3.571448,0.0,3.571448,0.0
930,4.143,6.306,4.349898,0.0,4.404178,0.0,4.404178,0.0
960,2.311,3.373,3.390932,0.5,3.470843,2.9,3.470843,2.9
195,4.167,5.871,4.282001,0.0,4.293074,0.0,4.293074,0.0
200,5.252,6.882,6.163821,0.0,6.17386,0.0,6.17386,0.0
210,6.456,6.967,7.305547,4.9,7.389099,6.1,7.389099,6.1
215,5.547,7.943,7.163935,0.0,7.173838,0.0,7.173838,0.0
220,6.944,8.787,8.281714,0.0,8.36272,0.0,8.36272,0.0
230,10.376,12.243,11.79016,0.0,11.868435,0.0,11.868435,0.0
240,5.649,7.448,6.958632,0.0,7.033078,0.0,7.033078,0.0
250,4.751,7.024,6.419997,0.0,6.47334,0.0,6.47334,0.0
270,4.51,5.92,4.895116,0.0,4.93894,0.0,4.93894,0.0
280,4.675,6.148,5.245272,0.0,5.292689,0.0,5.292689,0.0
290,4.577,5.942,4.920827,0.0,4.977575,0.0,4.977575,0.0
300,4.761,5.964,5.231675,0.0,5.284002,0.0,5.284002,0.0
310,5.221,7.135,5.624992,0.0,5.679677,0.0,5.679677,0.0
320,3.859,5.141,4.114619,0.0,4.153848,0.0,4.153848,0.0
395,4.799,5.835,5.482942,0.0,5.583331,0.0,5.583331,0.0
400,6.9,8.77,8.197191,0.0,8.28007,0.0,8.28007,0.0
410,8.596,10.506,9.937241,0.0,10.018409,0.0,10.018409,0.0
420,7.298,9.151,8.601481,0.0,8.676137,0.0,8.676137,0.0
430,5.429,7.827,6.626963,0.0,6.674122,0.0,6.674122,0.0
440,4.449,5.811,4.756835,0.0,4.802398,0.0,4.802398,0.0
800,4.868,7.228,6.089863,0.0,6.130548,0.0,6.130548,0.0
810,1.839,3.004,2.2367,0.0,2.23572,0.0,2.23572,0.0
