CASE,min,MAX,CS_01-2013_(APC),dist_%_CS_01-2013_(APC),CS_05-2023_(APC),dist_%_CS_05-2023_(APC),CS_07-2023_(APC),dist_%_CS_07-2023_(APC)
600,5.965,7.551,6.015,0.0,5.987,0.0,5.987,0.0
610,5.669,7.215,5.661,-0.1,5.601,-1.2,5.601,-1.2
620,3.634,5.096,4.262,0.0,4.253,0.0,4.253,0.0
630,3.072,4.4,3.449,0.0,3.377,0.0,3.377,0.0
900,2.888,4.901,3.232,0.0,3.254,0.0,3.254,0.0
910,1.896,3.973,2.733,0.0,2.647,0.0,2.647,0.0
920,2.385,3.777,3.139,0.0,3.126,0.0,3.126,0.0
930,1.873,3.203,2.544,0.0,2.495,0.0,2.495,0.0
960,0.953,1.403,1.256,0.0,1.241,0.0,1.241,0.0
195,0.616,0.853,0.753,0.0,0.75,0.0,0.75,0.0
200,0.863,1.126,1.032,0.0,1.031,0.0,1.031,0.0
210,0.476,1.142,0.776,0.0,0.77,0.0,0.77,0.0
215,1.007,1.347,1.193,0.0,1.191,0.0,1.191,0.0
220,0.56,1.342,0.957,0.0,0.951,0.0,0.951,0.0
230,1.059,1.878,1.471,0.0,1.466,0.0,1.466,0.0
240,0.739,1.542,1.139,0.0,1.133,0.0,1.133,0.0
250,2.258,4.912,1.888,-16.4,1.891,-16.3,1.891,-16.3
270,6.356,7.967,6.152,-3.2,6.241,-1.8,6.241,-1.8
280,4.444,5.759,4.26,-4.1,4.321,-2.8,4.321,-2.8
290,6.203,7.793,6.183,-0.3,6.125,-1.3,6.125,-1.3
300,3.404,5.072,4.008,0.0,4.01,0.0,4.01,0.0
310,2.848,4.666,3.268,0.0,3.255,0.0,3.255,0.0
320,5.701,7.332,5.427,-4.8,5.517,-3.2,5.517,-3.2
395,0.0,0.421,-0.0,0.0,-0.0,0.0,-0.0,0.0
400,0.0,0.712,0.222,0.0,0.212,0.0,0.212,0.0
410,0.035,0.863,0.367,0.0,0.358,0.0,0.358,0.0
420,0.258,1.078,0.595,0.0,0.585,0.0,0.585,0.0
430,1.427,2.578,1.452,0.0,1.451,0.0,1.451,0.0
440,4.424,5.615,4.338,-1.9,4.312,-2.5,4.312,-2.5
800,0.585,1.382,0.992,0.0,0.979,0.0,0.979,0.0
810,1.852,3.624,2.325,0.0,2.31,0.0,2.31,0.0
