CASE,min,MAX,CS_01-2015_(APH),dist_%_CS_01-2015_(APH),CS_05-2023_(APH),dist_%_CS_05-2023_(APH),CS_07-2023_(APH),dist_%_CS_07-2023_(APH)
600,3.437,4.354,4.012,0,4.027,0,4.027,0
610,3.437,4.354,4.01,0,4.024,0,4.024,0
620,3.591,4.379,4.021,0,4.036,0,4.036,0
630,3.592,4.379,4.033,0,4.043,0,4.043,0
900,2.85,4.081,3.404,0,3.413,0,3.413,0
910,2.858,4.083,3.413,0,3.428,0,3.428,0
920,3.308,4.156,3.723,0,3.736,0,3.736,0
930,3.355,4.188,3.773,0,3.783,0,3.783,0
960,2.41,2.896,2.688,0,2.706,0,2.706,0
195,2.004,2.385,2.029,0,2.032,0,2.032,0
200,2.651,3.382,2.871,0,2.874,0,2.874,0
210,2.701,3.325,2.997,0,3.013,0,3.013,0
215,2.787,3.65,3.329,0,3.332,0,3.332,0
220,2.867,3.709,3.481,0,3.497,0,3.497,0
230,4.386,5.293,5.049,0,5.065,0,5.065,0
240,2.685,3.509,3.299,0,3.315,0,3.315,0
250,2.866,3.709,3.448,0,3.463,0,3.463,0
270,2.863,3.738,3.44,0,3.455,0,3.455,0
280,2.864,3.759,3.439,0,3.454,0,3.454,0
290,2.863,3.738,3.43,0,3.443,0,3.443,0
300,3.014,3.77,3.436,0,3.452,0,3.452,0
310,3.015,3.771,3.437,0,3.446,0,3.446,0
320,2.861,3.735,3.426,0,3.44,0,3.44,0
395,2.062,2.391,2.116,0,2.134,0,2.134,0
400,2.867,3.709,3.481,0,3.497,0,3.497,0
410,3.625,4.501,4.265,0,4.281,0,4.281,0
420,3.443,4.301,4.083,0,4.099,0,4.099,0
430,3.442,4.301,4.049,0,4.064,0,4.064,0
440,3.439,4.376,4.024,0,4.038,0,4.038,0
800,3.227,4.188,3.867,0,3.879,0,3.879,0
810,2.979,4.115,3.554,0,3.564,0,3.564,0
